raw_sector,source,mapped_sector,sector_code
iprugoldetf,mc,,
ipruliquid,mc,,
iprunifty100,mc,,
iprunifty200,mc,,
iprunifty50,mc,,
iprunifty5yr,mc,,
ipruniftyalp,mc,,
ipruniftyauto,mc,,
ipruniftybank,mc,,
ipruniftycom,mc,,
ipruniftycon,mc,,
ipruniftyfin,mc,,
ipruniftyfmcg,mc,,
ipruniftyhea,mc,,
ipruniftyinf,mc,,
ipruniftyit,mc,,
ipruniftymeta,mc,,
ipruniftynext,mc,,
ipruniftyoil,mc,,
ipruniftypri,mc,,
ipruniftypsu,mc,,
iprusilveretf,mc,,
iprutop15ew,mc,,
ipruvalue30,mc,,
irbinfra,mc,,
irbinvit,mc,,
irbit,mc,,
irisclothings,mc,,
irisregtech,mc,,
irmenergy,mc,,
ishaaninfrastr,mc,,
istreetnetwork,mc,,
italianedibles,mc,,
itc,mc,,
itiassetmanag,mc,,
itnetworking,mc,,
iykotre,mc,,
jagsonpalser,mc,,
jaisukhdealers,mc,,
jakhariafabric,mc,,
janasfb,mc,,
jaschgauging,mc,,
jayabharatcred,mc,,
jayatmaenterpr,mc,,
jaybeelaminat,mc,,
jaybharattext,mc,,
jaykayent,mc,,
jcl,mc,,
jcvdav,mc,,
jdbcdabcdb,mc,,
jhssvendgaard,mc,,
jindalsteel,mc,,
jioblackrocka,mc,,
jmfinancialam,mc,,
jojo,mc,,
jshvcjsvc,mc,,
jslindustries,mc,,
jsvjcsv,mc,,
jswinfra,mc,,
jtldefence,mc,,
jtlind,mc,,
jubilanting,mc,,
juneind,mc,,
jyotire1,mc,,
kairosoftai,mc,,
kalanaispat,mc,,
kalyancapitals,mc,,
kamopaints,mc,,
kanakkrishi,mc,,
kanishkalumini,mc,,
kanpurplastipa,mc,,
kanungofinanci,mc,,
kapstonservice,mc,,
kasturimetal,mc,,
katariaind,mc,,
katipatang,mc,,
kawires,mc,,
kayceeenergy,mc,,
kbcsb,mc,,
kbibc,mc,,
kcdindustries,mc,,
kcdre,mc,,
kclinfra,mc,,
kcnascascnn,mc,,
kdbckbc,mc,,
kddlri,mc,,
keeplnre,mc,,
keventeragro,mc,,
khandelext,mc,,
khfmhospitalit,mc,,
khoobsure,mc,,
khsbskhb,mc,,
kiaasaretail,mc,,
kidsmedical,mc,,
kidujaindia,mc,,
kinetictrust,mc,,
kiransyntex,mc,,
kirloskarind,mc,,
kisaanparivar,mc,,
kjmcfinser,mc,,
kkfincorp,mc,,
kotakgoldetf,mc,,
kotakmahindra,mc,,
kotaknifty100,mc,,
kotaknifty1d,mc,,
kotaknifty50,mc,,
kotakniftyalp,mc,,
kotakniftyban,mc,,
kotakniftyit,mc,,
